Wallet ID,Row,Timestamp (UTC),Description,Currency,Balance delta,Available balance delta,Balance,Available balance,Cryptocurrency transaction ID,Cryptocurrency address,Value
5703667518185238680,1,2017-12-18 06:08:07,Bought BTC 0.00160131 for ZAR 500.00,XBT,0.00160131,0.00160131,0.00160131,0.00160131,,,
5703667518185238680,2,2018-02-15 06:03:59,Bought BTC 0.00409527 for ZAR 500.00,XBT,0.00409527,0.00409527,0.00569658,0.00569658,,,
5703667518185238680,3,2018-02-21 08:10:13,Sold BTC 0.00372804 for ZAR 500.00,XBT,-0.00372804,-0.00372804,0.00196854,0.00196854,,,
5703667518185238680,4,2018-03-20 05:03:55,Sold ETH 0.10 for BTC 0.0061887,XBT,0.0061887,0.0061887,0.00815724,0.00815724,,,
5703667518185238680,5,2018-03-21 08:45:56,Sold BTC 0.00274442 for ZAR 300.00,XBT,-0.00274442,-0.00274442,0.00541282,0.00541282,,,
5703667518185238680,6,2018-04-06 03:57:29,Bought BTC 0.00582986 for ZAR 500.00,XBT,0.00582986,0.00582986,0.01124268,0.01124268,,,
5703667518185238680,7,2018-04-12 12:20:58,Sold BTC 0.00554354 for ZAR 500.00,XBT,-0.00554354,-0.00554354,0.00569914,0.00569914,,,
5703667518185238680,8,2018-04-13 06:18:48,Bought BTC 0.00307886 for ZAR 300.00,XBT,0.00307886,0.00307886,0.008778,0.008778,,,
5703667518185238680,9,2018-04-14 04:51:10,Bought BTC 0.00497462 for ZAR 500.00,XBT,0.00497462,0.00497462,0.01375262,0.01375262,,,
5703667518185238680,10,2018-04-21 09:59:57,Sold BTC 0.0037363 for ZAR 400.00,XBT,-0.0037363,-0.0037363,0.01001632,0.01001632,,,
5703667518185238680,11,2018-04-22 05:36:40,Bought BTC 0.00277762 for ZAR 316.70,XBT,0.00277762,0.00277762,0.01279394,0.01279394,,,
5703667518185238680,12,2018-04-24 13:00:10,Bought BTC 0.00164443 for ZAR 200.00,XBT,0.00164443,0.00164443,0.01443837,0.01443837,,,
5703667518185238680,13,2018-07-18 08:34:03,Sold BTC 0.00575638 for ZAR 570.00,XBT,-0.00575638,-0.00575638,0.00868199,0.00868199,,,
5703667518185238680,14,2018-07-20 08:16:26,Sold BTC 0.00393397 for ZAR 400.00,XBT,-0.00393397,-0.00393397,0.00474802,0.00474802,,,
5703667518185238680,15,2018-07-27 00:55:16,"Bought 0.0042 BTC/ZAR @ 110,000",XBT,0.0042,0.0042,0.00894802,0.00894802,,,
5703667518185238680,16,2018-07-27 04:58:25,Reserved funds for order BXFXHFK8EEQ87DV,XBT,0.00,-0.0042,0.00894802,0.00474802,,,
5703667518185238680,17,2018-07-27 06:24:38,Released funds for order BXFXHFK8EEQ87DV,XBT,0.00,0.0042,0.00894802,0.00894802,,,
5703667518185238680,18,2018-07-30 07:48:31,Reserved funds for order BX3BFBDDTXPZMM,XBT,0.00,-0.0042,0.00894802,0.00474802,,,
5703667518185238680,19,2018-07-30 13:21:27,Released funds for order BX3BFBDDTXPZMM,XBT,0.00,0.0042,0.00894802,0.00894802,,,
5703667518185238680,20,2018-07-30 13:22:31,Reserved funds for order BXBB55KW7DJ76N4,XBT,0.00,-0.0042,0.00894802,0.00474802,,,
5703667518185238680,21,2018-07-30 13:31:58,Bought BTC 0.00033532 for ZAR 38.00,XBT,0.00033532,0.00033532,0.00928334,0.00508334,,,
5703667518185238680,22,2018-08-07 08:33:11,Released funds for order BXBB55KW7DJ76N4,XBT,0.00,0.0042,0.00928334,0.00928334,,,
5703667518185238680,23,2018-09-01 03:55:10,Sold ETH 0.37315 for BTC 0.01491935,XBT,0.01491935,0.01491935,0.02420269,0.02420269,,,
5703667518185238680,24,2018-10-01 17:36:19,Reserved funds for order BXHZE37T5KBF2WM,XBT,0.00,-0.0242,0.02420269,0.00000269,,,
5703667518185238680,25,2018-10-10 05:22:34,Released funds for order BXHZE37T5KBF2WM,XBT,0.00,0.0242,0.02420269,0.02420269,,,
5703667518185238680,26,2018-11-02 15:47:00,Sold BTC 0.0156 for ETH 0.48552755,XBT,-0.0156,-0.0156,0.00860269,0.00860269,,,
5703667518185238680,27,2019-04-04 11:17:46,Sold BTC 0.008602 for ZAR 617.58,XBT,-0.008602,-0.008602,0.00000069,0.00000069,,,
5703667518185238680,28,2019-04-08 11:04:19,"Bought 0.007778 BTC/ZAR @ 79,400",XBT,0.007778,0.007778,0.00777869,0.00777869,,,
5703667518185238680,29,2019-04-08 12:31:52,Reserved funds for order BXDPCD7Y89KFM5Y,XBT,0.00,-0.007778,0.00777869,0.00000069,,,
5703667518185238680,30,2019-04-08 15:24:29,Released funds for order BXDPCD7Y89KFM5Y,XBT,0.00,0.007778,0.00777869,0.00777869,,,
5703667518185238680,31,2019-04-22 11:04:30,Reserved funds for order BXKV2XM7JGC3CRS,XBT,0.00,-0.00777,0.00777869,0.00000869,,,
5703667518185238680,32,2019-04-22 18:55:22,"Sold 0.00777 BTC/ZAR @ 81,000",XBT,-0.00777,0.00,0.00000869,0.00000869,,,
5703667518185238680,34,2019-04-25 06:29:08,"Bought 0.00756 BTC/ZAR @ 82,813",XBT,0.00756,0.00756,0.00756869,0.00756869,,,
5703667518185238680,35,2019-04-26 07:45:02,Reserved funds for order BXGC63W9JZ22ZA6,XBT,0.00,-0.0075,0.00756869,0.00006869,,,
5703667518185238680,36,2019-05-03 14:04:52,Released funds for order BXGC63W9JZ22ZA6,XBT,0.00,0.0075,0.00756869,0.00756869,,,
5703667518185238680,37,2019-05-03 14:07:26,Sold BTC 0.00756 for ZAR 639.34,XBT,-0.00756,-0.00756,0.00000869,0.00000869,,,
5703667518185238680,38,2019-05-04 13:49:26,"Bought 0.00758 BTC/ZAR @ 84,696",XBT,0.00758,0.00758,0.00758869,0.00758869,,,
5703667518185238680,39,2019-05-07 05:50:33,Reserved funds for order BXEHHJ25AA5XZE9,XBT,0.00,-0.00758,0.00758869,0.00000869,,,
5703667518185238680,40,2019-05-09 03:18:08,"Sold 0.00758 BTC/ZAR @ 90,000",XBT,-0.00758,0.00,0.00000869,0.00000869,,,
5703667518185238680,42,2019-06-21 06:42:09,Sold ETH 0.80983 for BTC 0.02335674,XBT,0.02335674,0.02335674,0.02336543,0.02336543,,,
5703667518185238680,43,2019-07-31 09:51:44,Reserved funds for order BXCHF3SDN7D5789,XBT,0.00,-0.006,0.02336543,0.01736543,,,
5703667518185238680,44,2019-07-31 09:52:27,Reserved funds for order BXMHXTMQFC7D8P9,XBT,0.00,-0.01,0.02336543,0.00736543,,,
5703667518185238680,45,2019-07-31 09:53:17,Reserved funds for order BXCS3Z2UGYV6G8D,XBT,0.00,-0.007365,0.02336543,0.00000043,,,
